surface(m²),pieces,chambres,salles de bains,etat,etage,ans,ville,autre,prix(DHs),lienImage,lienArticle
140 m²,5 Pièces,4 Chambres,3 Salles de bains,Nouveau,,,Tantonville à Casablanca,Jardin Terrasse Garage Ascenseur Concierge Antenne parabolique Climatisation Double vitrage Cuisine équipée Four  Type du sol:  Marbre  ,3003000 DH,https://www.mubawab-media.com/ad/7/611/971F/h/2_38659385.jpg,https://www.mubawab.ma/fr/a/7611971/vendre-duplex-140m%C2%B2-avec-rez-de-jardin-privatif
99 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Tantonville à Casablanca,Garage Ascenseur Antenne parabolique Climatisation Sécurité Double vitrage Porte blindée Cuisine équipée Four  Type du sol:  Marbre  ,1785000 DH,https://www.mubawab-media.com/ad/7/606/805F/h/2_38076872.jpg,https://www.mubawab.ma/fr/a/7606805/vente-bel-appartement-99m2-sans-vis-a-vis-tantonville
118 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,"1er
					étage",,Tantonville à Casablanca,Garage Ascenseur Concierge Antenne parabolique Climatisation Double vitrage Porte blindée Cuisine équipée Four  Type du sol:  Marbre  ,2161250 DH,https://www.mubawab-media.com/ad/7/606/786F/h/2cbb0ffe-a9b7-450c-a1af-ad6ca27155fd_57208685.jpg,https://www.mubawab.ma/fr/a/7606786/bel-appartement-a-vendre-118m2-tantonville
129 m²,5 Pièces,3 Chambres,3 Salles de bains,Nouveau,,,Tantonville à Casablanca,Jardin Garage Ascenseur Concierge Antenne parabolique Climatisation Double vitrage Cuisine équipée Four  Type du sol:  Parquet  ,2491500 DH,https://www.mubawab-media.com/ad/7/606/834F/h/a_38077634.jpg,https://www.mubawab.ma/fr/a/7606834/joli-duplex-avec-rez-de-jardin-%C3%A0-vendre-129-m%C2%B2
120 m²,3 Pièces,2 Chambres,,Nouveau,,,Agdal à Marrakech,Jardin Terrasse Garage Ascenseur Vue sur les montagnes Piscine Concierge Salon Marocain Salon européen Chauffage central Sécurité  Type du sol:  Marbre  ,2200000 DH,https://www.mubawab-media.com/ad/7/591/970F/h/DSC00923_14619917_36405658.jpg,https://www.mubawab.ma/fr/pa/7591970/appartement-de-120-m%C2%B2-en-vente-r%C3%A9sidence-riad-garden
148 m²,5 Pièces,3 Chambres,2 Salles de bains,Nouveau,"1er
					étage",,Belvédère à Casablanca, Orientation:  Sud  Terrasse Garage Ascenseur Concierge Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité Double vitrage Cuisine équipée Four  Type du sol:  Marbre  ,1660000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/pa/7599031/appartement-de-148m%C2%B2-en-vente-avec-place-de-parking-titr%C3%A9e-de-14m2-chraibi-immobilier
55 m²,4 Pièces,3 Chambres,,Nouveau,,,Al Aalia à Mohammedia,Ascenseur ,250000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/pa/7617438/appartement-55m%C2%B2-en-vente-riad-assalam
115 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,Centre à Tanger, Orientation:  Nord  Jardin Terrasse Garage Ascenseur Concierge Climatisation Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes  Type du sol:  Marbre  ,2385000 DH,https://www.mubawab-media.com/ad/7/784/355F/h/WhatsApp%20Image%202023-09-27%20at%2014.55.57_56988985_56989178.jpeg,https://www.mubawab.ma/fr/pa/7784355/vente-d-un-bel-appartement-en-centre-surface-de-115-m%C2%B2
149 m²,6 Pièces,4 Chambres,3 Salles de bains,,,,Moujahidine à Tanger,Terrasse Ascenseur Climatisation Sécurité Cuisine équipée ,,https://www.mubawab-media.com/ad/7/462/913F/h/IMG-20220620-WA0020_26210081_26249012_26256645.jpg,https://www.mubawab.ma/fr/pa/7462913/appartement-de-147m%C2%B2-en-vente-r%C3%A9sidence-rumaisa
76 m²,2 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Dar Bouazza,Terrasse Garage Ascenseur Concierge Cuisine équipée ,890000 DH,https://www.mubawab-media.com/ad/7/475/057F/h/Palms%20Avenue_27040764.jpg,https://www.mubawab.ma/fr/a/7475057/appartements-de-standing-%C3%A0-5-min-du-morocco-mall
128 m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,"6ème
					étage",,Casablanca Finance City à Casablanca, Orientation:  Nord  Terrasse Garage Ascenseur Concierge Chambre rangement Meublé Façade extérieure Salon européen Cuisine équipée Réfrigérateur Four Machine à laver  Type du sol:  Marbre  ,2200000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/a/7823755/appartement-luxueux-au-cfc
76 m²,3 Pièces,2 Chambres,,Nouveau,,,Guéliz à Marrakech,Terrasse Garage Ascenseur Piscine Climatisation Sécurité Cuisine équipée ,988000 DH,https://www.mubawab-media.com/ad/7/662/108F/h/IMG-20230313-WA0005_43246897.jpg,https://www.mubawab.ma/fr/pa/7662108/appartement-%C3%A0-vendre-%C3%A0-gu%C3%A8liz
75 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Tanger City Center à Tanger,,1800000 DH,https://www.mubawab-media.com/ad/7/596/462F/h/8_44730690_44744938.jpg,https://www.mubawab.ma/fr/pa/7596462/bel-appartement-%C3%A0-vendre-%C3%A0-tanger-city-center-2-chambres-agr%C3%A9ables
91 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,Route de Safi à Marrakech,Jardin Garage Ascenseur Concierge Façade extérieure Antenne parabolique Climatisation Sécurité Cuisine équipée Four ,819900 DH,https://www.mubawab-media.com/ad/7/820/049F/h/PHOTO-2021-12-31-16-49-34_61393269.jpg,https://www.mubawab.ma/fr/a/7820049/abraj-al-amirate
103 m²,3 Pièces,2 Chambres,,Bon état,"3ème
					étage",10-20 ans,Les Hôpitaux à Casablanca,Garage Ascenseur  Type du sol:  Carrelage  ,1340000 DH,https://www.mubawab-media.com/ad/7/796/810F/h/annonce-agenz-2023-10-16T171928-310Z-appartement-elmaarif1697476733406-f68f0827_64107725.jpg,https://www.mubawab.ma/fr/a/7796810/appartement-%C3%A0-vendre-1-dh-103-m%C2%B2-2-chambres-les-h%C3%B4pitaux-casablanca
159 m²,,3 Chambres,2 Salles de bains,,"3ème
					étage",,Port à Casablanca,Garage Ascenseur Salon Marocain Salon européen Cheminée Sécurité Cuisine équipée ,2500000 DH,https://www.mubawab-media.com/ad/7/828/178F/h/annonce-agenz-2023-11-24T115119-173Z-appartement-elmaarif1700826676678-7a6fef08_64107210.jpg,https://www.mubawab.ma/fr/a/7828178/appartement-%C3%A0-vendre-2-dh-159-m%C2%B2-3-chambres-bd-abdelmoumen-casablanca
100 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Hay Al Massira à Rabat,Jardin Terrasse Garage Ascenseur Vue sur mer Façade extérieure Climatisation Sécurité Porte blindée Cuisine équipée ,1500000 DH,https://www.mubawab-media.com/ad/7/659/734F/h/portfolio14_42685706_43012738.jpg,https://www.mubawab.ma/fr/pa/7659734/appartement-en-vente-%C3%A0-yacoub-al-mansour-surface-totale-100-m%C2%B2
89 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,Wafa à Mohammedia,Ascenseur Piscine Cuisine équipée ,890000 DH,https://www.mubawab-media.com/ad/7/598/710F/h/Bougainvillier%20%289%29_14505952_37091053.jpg,https://www.mubawab.ma/fr/pa/7598710/appartement-%C3%A0-mohammedia-89-m%C2%B2-3-chambres-salon
75 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Tanger City Center à Tanger,,1800000 DH,https://www.mubawab-media.com/ad/7/596/453F/h/24_44730704_44746532.jpg,https://www.mubawab.ma/fr/pa/7596453/vente-d-un-bel-appartement-%C3%A0-tanger-city-center-2-chambres-agr%C3%A9ables
130 m²,,2 Chambres,,,,,Bourgogne Ouest à Casablanca,Terrasse Garage ,950000 DH,https://www.mubawab-media.com/ad/7/828/199F/h/annonce-agenz-2023-10-03T144426-077Z-appartement-anfa1696344264672-23a66894_64107494.jpg,https://www.mubawab.ma/fr/a/7828199/appartement-%C3%A0-vendre-dh-130-m%C2%B2-2-chambres-bourgogne-ouest-casablanca
130 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"3ème
					étage",1-5 ans,Souissi à Rabat, Orientation:  Nord  Terrasse Garage Ascenseur Vue sur mer Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Chauffage central Sécurité Double vitrage Cuisine équipée  Type du sol:  Parquet  ,3500000 DH,https://www.mubawab-media.com/ad/7/826/738F/h/photo_0_62229315.jpg,https://www.mubawab.ma/fr/a/7826738/superbe-appartement-%C3%A0-vendre-%C3%A0-imkan-le-carrousel-maroc-2-belles-chambres-fen%C3%AAtres-en-double-vitrage-et-vue-mer
132 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,Harhoura,Jardin Terrasse Garage Ascenseur Vue sur mer Piscine Concierge Chambre rangement Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité Double vitrage Cuisine équipée Four ,,https://www.mubawab-media.com/ad/7/647/151F/h/Harhoura%20Hills%20Plan%20Ext%C3%A9rieur_Moment_55988798.jpg,https://www.mubawab.ma/fr/pa/7647151/appartement-f4-de-132m%C2%B2-en-vente-harhoura-hills
76 m²,3 Pièces,2 Chambres,,Nouveau,"3ème
					étage",,Guéliz à Marrakech,Garage Ascenseur Piscine Concierge Chambre rangement Façade extérieure Climatisation Chauffage central Sécurité Double vitrage Cuisine équipée Four  Type du sol:  Marbre  ,1368000 DH,https://www.mubawab-media.com/ad/7/823/425F/h/1_61814995.jpg,https://www.mubawab.ma/fr/a/7823425/appartement-76-m%C2%B2-avec-piscine-%C3%A0-marrakech
118 m²,3 Pièces,2 Chambres,,Bon état,"2ème
					étage",,Les Hôpitaux à Casablanca,Terrasse Garage Ascenseur Concierge ,1475000 DH,https://www.mubawab-media.com/ad/7/823/202F/h/20231120_143830_61765002.jpg,https://www.mubawab.ma/fr/a/7823202/appartement-de-118m%C2%B2-%C3%A0-bd-abdelmoumen-casablanca
100 m²,5 Pièces,2 Chambres,,Bon état,"1er
					étage",,Administratif à Tanger,Ascenseur Concierge Climatisation Réfrigérateur Four Machine à laver ,1300000 DH,https://www.mubawab-media.com/ad/7/823/046F/h/2_61749416.jpg,https://www.mubawab.ma/fr/a/7823046/appartement-%C3%A0-vendre-usage-bureau-possible
166 m²,8 Pièces,3 Chambres,2 Salles de bains,Bon état,"5ème
					étage",10-20 ans,Val Fleury à Casablanca, Orientation:  Ouest  Terrasse Garage Ascenseur Concierge Chambre rangement Façade extérieure Salon Marocain Salon européen Antenne parabolique Cheminée Climatisation Cuisine équipée  Type du sol:  Marbre  ,2495000 DH,https://www.mubawab-media.com/ad/7/822/954F/h/ENTREE2_61828271.jpg,https://www.mubawab.ma/fr/a/7822954/appartement-tr%C3%A8s-belles-finitions-calme-lumineux
98 m²,3 Pièces,3 Chambres,2 Salles de bains,Nouveau,"4ème
					étage",,Medina à Tétouan, Orientation:  Est  Terrasse Garage Ascenseur Vue sur les montagnes Concierge Façade extérieure Antenne parabolique Climatisation Double vitrage Cuisine équipée Four  Type du sol:  Carrelage  ,1300000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/a/7822476/appartement-luxueux
91 m²,4 Pièces,2 Chambres,2 Salles de bains,Bon état,"10ème
					étage",5-10 ans,Errahma, Orientation:  Est  Garage Façade extérieure  Type du sol:  Carrelage  ,864500 DH,https://www.mubawab-media.com/ad/7/822/107F/h/WhatsApp%20Image%202023-05-22%20at%2013.54.54%20%281%29_61645451.jpeg,https://www.mubawab.ma/fr/a/7822107/appartement-%C3%A0-vendre-%C3%A0-casablanca-errahma
72 m²,2 Pièces,,,Bon état,"2ème
					étage",10-20 ans,Ain Chock à Casablanca,Jardin Ascenseur Chambre rangement  Type du sol:  Carrelage  ,850000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/a/7821664/tr%C3%A8s-bel-appartement-%C3%A0-c%C3%B4t%C3%A9-d-al-qods-et-famagusta
65 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,5-10 ans,Hay Salam à Agadir,Jardin Ascenseur Concierge Antenne parabolique Sécurité Cuisine équipée ,580000 DH,https://www.mubawab-media.com/ad/7/821/382F/h/10063120426_61553655.jpg,https://www.mubawab.ma/fr/a/7821382/appartement-%C3%A0-vendre-r%C3%A9sidence-annasr-3
157 m²,3 Pièces,2 Chambres,,Bon état,"1er
					étage",,Val Fleury à Casablanca,Terrasse Ascenseur  Type du sol:  Carrelage  ,1800000 DH,https://www.mubawab-media.com/ad/7/821/312F/h/2_61538794.jpg,https://www.mubawab.ma/fr/a/7821312/appt-en-plein-centre-ville-de-casablanca
133 m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,"5ème
					étage",10-20 ans,Bourgogne Ouest à Casablanca, Orientation:  Nord  Jardin Terrasse Garage Vue sur mer Vue sur les montagnes Piscine Concierge Chambre rangement Meublé Cheminée Climatisation Chauffage central Double vitrage Réfrigérateur Four Machine à laver Micro-ondes  Type du sol:  Carrelage  ,1450000 DH,https://www.mubawab-media.com/ad/7/820/529F/h/IMG-20231127-WA0030_61436950.jpg,https://www.mubawab.ma/fr/a/7820529/vente-appart-%C3%A0-bourgogne-de-133-m2-et-11-m2-garage-titr%C3%A9
100 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Malabata à Tanger,Ascenseur Vue sur mer Piscine Climatisation Sécurité ,1280000 DH,https://www.mubawab-media.com/ad/7/598/586F/h/122591270_2461687180806116_7472265974480716778_o_27199656_37086443.jpg,https://www.mubawab.ma/fr/pa/7598586/residence-ferm%C3%A9e-vue-degag%C3%A9e-sur-montagne-piscine-100m%C2%B2
120 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,Marjane à Tanger,Jardin Terrasse Ascenseur Piscine Concierge ,,https://www.mubawab-media.com/ad/7/595/780F/h/924cd20d-eb0f-4c9f-b257-c9114ddf1c8d_27056428_36818508.JPG,https://www.mubawab.ma/fr/pa/7595780/appartement-%C3%A0-l-achat-%C3%A0-marjane-surface-totale-120-m%C2%B2-ascenseur-et-terrasse
55 m²,4 Pièces,3 Chambres,,Nouveau,,,Al Aalia à Mohammedia,Ascenseur ,250000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/pa/7624636/appartement-55m%C2%B2-en-vente-riad-assalam
102 m²,4 Pièces,2 Chambres,,Bon état,"9ème
					étage",20-30 ans,Gauthier à Casablanca, Orientation:  Nord  Terrasse Ascenseur ,1500000 DH,https://www.mubawab-media.com/ad/7/825/734F/h/annonce-agenz-2023-11-27T135819-194Z-appartement-sidibelyout1701093476081-d31752c3_64107685.jpg,https://www.mubawab.ma/fr/a/7825734/appartement-%C3%A0-vendre-1-dh-102-m%C2%B2-2-chambres-gauthier-casablanca
67 m²,,3 Chambres,2 Salles de bains,,,,Ahl Loghlam (Hay Assalam) à Casablanca,Terrasse Ascenseur Piscine ,250000 DH,https://www.mubawab-media.com/ad/7/596/069F/h/Page-projet-Social-Tit-Mellil_22717042_36830916.jpg,https://www.mubawab.ma/fr/pa/7596069/vend-appartement-%C3%A0-ahl-loghlam-hay-assalam-surface-totale-67-m%C2%B2
97 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"1er
					étage",,Aïn Sebaâ à Casablanca, Orientation:  Nord  Ascenseur ,1073980 DH,https://www.mubawab-media.com/ad/7/391/310F/h/DSC00107-Enhanced-NR%20copy_60776545.png,https://www.mubawab.ma/fr/pa/7391310/appartement-de-83m%C2%B2-avec-27m%C2%B2-de-cours-en-vente-as-living
107 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,Marjane à Tanger,Jardin Garage Ascenseur Piscine Concierge Sécurité ,,https://www.mubawab-media.com/ad/7/215/357F/h/D5B7338E-DCB3-4142-BFA4-26C1B40ABB01_27056960.JPG,https://www.mubawab.ma/fr/pa/7215357/appartement-en-vente-%C3%A0-marjane-4-pi%C3%A8ces-confortables-places-de-parking-et-beau-jardin
93 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Malabata à Tanger,Jardin Terrasse Garage Ascenseur Concierge Façade extérieure Sécurité Double vitrage ,,https://www.mubawab-media.com/ad/7/595/701F/h/FullSizeRender%20%285%29_49737725.jpg,https://www.mubawab.ma/fr/pa/7595701/appartement-93m%C2%B2-dont-28m%C2%B2-de-terrasse-en-rez-de-chaussee
130 m²,5 Pièces,3 Chambres,2 Salles de bains,,,,Moujahidine à Tanger,Terrasse Ascenseur Climatisation Sécurité Cuisine équipée ,,https://www.mubawab-media.com/ad/7/462/910F/h/IMG-20220620-WA0016_26210080_26249011_26256618.jpg,https://www.mubawab.ma/fr/pa/7462910/appartement-de-108m%C2%B2-en-vente-r%C3%A9sidence-rumaisa
50 m²,3 Pièces,2 Chambres,,Nouveau,,,Hanaa 3 - Soussi à Tanger,Jardin Ascenseur Concierge Sécurité ,,https://www.mubawab-media.com/ad/7/669/324F/h/12_43856925_43860465.png,https://www.mubawab.ma/fr/pa/7669324/bel-appartement-%C3%A0-vendre-50m%C2%B2
87 m²,2 Pièces,2 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",,Hay Mabrouka à Marrakech, Orientation:  Sud  Jardin Terrasse Garage Ascenseur Concierge Chambre rangement Façade extérieure Salon Marocain Salon européen Antenne parabolique Sécurité Cuisine équipée  Type du sol:  Marbre  ,740000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/pa/7696610/superbe-duplex-fait-l-ongle-2-fa%C3%A7ades
88 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,Hivernage à Marrakech,Jardin Terrasse Garage Ascenseur Piscine Concierge Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Chauffage central Sécurité Double vitrage Cuisine équipée  Type du sol:  Marbre  ,1050000 DH,https://www.mubawab-media.com/ad/7/710/255F/h/IMG-20230313-WA0005_48529861.jpg,https://www.mubawab.ma/fr/pa/7710255/bel-appartement-%C3%A0-vendre-%C3%A0-gu%C3%A8liz-superficie-88m%C2%B2
116 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"7ème
					étage",,Les princesses à Casablanca, Orientation:  Sud  Terrasse Garage Ascenseur Concierge Façade extérieure Salon européen Cheminée Climatisation Cuisine équipée Four  Type du sol:  Marbre  ,1836000 DH,https://www.mubawab-media.com/ad/7/806/969F/h/20231102_163544_59960108.jpg,https://www.mubawab.ma/fr/a/7806969/appartement-neuf-dernier-%C3%A9tage-avec-terrasse
138 m²,2 Pièces,2 Chambres,2 Salles de bains,Bon état,"5ème
					étage",1-5 ans,Casablanca Finance City à Casablanca, Orientation:  Nord  Garage Ascenseur Concierge Façade extérieure Salon Marocain Climatisation Cuisine équipée Réfrigérateur Four Machine à laver  Type du sol:  Marbre  ,2900000 DH,https://www.mubawab-media.com/ad/7/812/115F/h/IMG-20231215-WA0253_62952178.jpg,https://www.mubawab.ma/fr/a/7812115/appartement-%C3%A0-vendre-cfc
111 m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"5ème
					étage",5-10 ans,Les Hôpitaux à Casablanca, Orientation:  Sud  Terrasse Garage Ascenseur Concierge Chambre rangement Façade extérieure  Type du sol:  Carrelage  ,1350000 DH,https://www.mubawab-media.com/ad/7/820/619F/h/IMG-20230121-WA0093_61455229.jpg,https://www.mubawab.ma/fr/a/7820619/appartement-%C3%A0-vendre-les-h%C3%B4pitaux
120 m²,6 Pièces,3 Chambres,2 Salles de bains,Bon état,,,Ksar Sghir,Jardin Terrasse Vue sur mer Vue sur les montagnes Piscine Concierge Chambre rangement Façade extérieure Cuisine équipée ,1250000 DH,https://www.mubawab-media.com/ad/7/757/486F/h/photo_17_57394428.png,https://www.mubawab.ma/fr/a/7757486/duplex-a-vendre
99 m²,5 Pièces,2 Chambres,2 Salles de bains,Bon état,"2ème
					étage",,Centre à Tanger,Ascenseur Concierge Chambre rangement Chauffage central Sécurité Cuisine équipée ,1190000 DH,https://www.mubawab-media.com/ad/7/749/962F/h/photo_02_52708319.jpg,https://www.mubawab.ma/fr/a/7749962/superbe-appartement-%C3%A0-vendre-en-centre-surface-totale-99-m%C2%B2-conciergerie-%C3%A0-disposition
129 m²,3 Pièces,2 Chambres,,Bon état,,5-10 ans,Dar Bouazza, Orientation:  Nord  Jardin Terrasse Garage Vue sur mer Piscine Concierge Façade extérieure Salon européen Antenne parabolique Climatisation Cuisine équipée Four  Type du sol:  Marbre  ,1950000 DH,https://www.mubawab-media.com/ad/7/743/202F/h/WhatsApp%20Image%202023-04-23%20at%2020.31.47_52269779.jpeg,https://www.mubawab.ma/fr/a/7743202/appartement-2-chambres-au-rdc-vue-piscine-et-mer
78 m²,2 Pièces,,2 Salles de bains,Nouveau,"2ème
					étage",,Taghazout,Jardin Terrasse Garage Vue sur mer Vue sur les montagnes Piscine Concierge Chambre rangement Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité Double vitrage Porte blindée Cuisine équipée Four Micro-ondes  Type du sol:  Carrelage  ,1248000 DH,https://www.mubawab-media.com/ad/7/791/306F/h/064e7682-12d6-4d0a-b3d4-0928315b586b_61451654.jpg,https://www.mubawab.ma/fr/a/7791306/superbe-appartement-%C3%A0-tamraght-avec-piscine
140 m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,,1-5 ans,Taghazout,Jardin Terrasse Garage Vue sur les montagnes Piscine Concierge Chambre rangement Meublé Façade extérieure Salon européen Antenne parabolique Climatisation Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes  Type du sol:  Carrelage  ,3650000 DH,https://www.mubawab-media.com/ad/7/818/171F/h/47d2a0c7-ca3c-4879-9234-e1b5a151213b_61080653.jpg,https://www.mubawab.ma/fr/a/7818171/luxueux-appartement-%C3%A0-taghazout-bay-vue-piscine
